model_id,story_id,condition_id,persona_id,temperature,temperature_label,emotion,membership_family,membership_hmax,n_attempts,n_valid_entropy,n_missing_entropy,n_valid_H_raw,mean_H_raw,median_H_raw,sd_H_raw,min_H_raw,max_H_raw,n_valid_H_norm,mean_H_norm,median_H_norm,sd_H_norm,min_H_norm,max_H_norm
x-ai/grok-4.20,T2,C02,p1,0.4,t04,interest,legacy_linear_v1,1.057697511124,5,5,0,5,0.528771238,0.528771238,0.0,0.528771238,0.528771238,5,0.499926711,0.499926711,0.0,0.499926711,0.499926711
x-ai/grok-4.20,T2,C02,p1,0.4,t04,interest,sigmoid_s_v1,1.018502773018,5,5,0,5,0.50829568,0.50829568,0.0,0.50829568,0.50829568,5,0.499061656,0.499061656,0.0,0.499061656,0.499061656
x-ai/grok-4.20,T2,C02,p1,0.4,t04,sadness,legacy_linear_v1,1.057697511124,5,5,0,5,1.028320834,1.028320834,0.0,1.028320834,1.028320834,5,0.972225823,0.972225823,0.0,0.972225823,0.972225823
x-ai/grok-4.20,T2,C02,p1,0.4,t04,sadness,sigmoid_s_v1,1.018502773018,5,5,0,5,0.920272477,0.920272477,0.0,0.920272477,0.920272477,5,0.903554218,0.903554218,0.0,0.903554218,0.903554218
x-ai/grok-4.20,T2,C02,p1,0.4,t04,surprise,legacy_linear_v1,1.057697511124,5,5,0,5,0.360201221,0.360201221,0.0,0.360201221,0.360201221,5,0.340552206,0.340552206,0.0,0.340552206,0.340552206
x-ai/grok-4.20,T2,C02,p1,0.4,t04,surprise,sigmoid_s_v1,1.018502773018,5,5,0,5,0.15837963,0.15837963,0.0,0.15837963,0.15837963,5,0.155502404,0.155502404,0.0,0.155502404,0.155502404
x-ai/grok-4.20,T2,C03,p1,0.7,t07,anger,legacy_linear_v1,1.057697511124,5,5,0,5,0.148421042,0.0,0.296842083,0.0,0.742105208,5,0.140324658,0.0,0.280649316,0.0,0.70162329
x-ai/grok-4.20,T2,C03,p1,0.7,t07,anger,sigmoid_s_v1,1.018502773018,5,5,0,5,0.045426759,0.0,0.090853519,0.0,0.227133797,5,0.044601508,0.0,0.089203016,0.0,0.22300754
x-ai/grok-4.20,T2,C03,p1,0.7,t07,interest,legacy_linear_v1,1.057697511124,5,5,0,5,0.528771238,0.528771238,0.0,0.528771238,0.528771238,5,0.499926711,0.499926711,0.0,0.499926711,0.499926711
x-ai/grok-4.20,T2,C03,p1,0.7,t07,interest,sigmoid_s_v1,1.018502773018,5,5,0,5,0.50829568,0.50829568,0.0,0.50829568,0.50829568,5,0.499061656,0.499061656,0.0,0.499061656,0.499061656
x-ai/grok-4.20,T2,C03,p1,0.7,t07,sadness,legacy_linear_v1,1.057697511124,5,5,0,5,0.900651667,1.028320834,0.255338333,0.389975,1.028320834,5,0.851521023,0.972225823,0.2414096,0.368701823,0.972225823
x-ai/grok-4.20,T2,C03,p1,0.7,t07,sadness,sigmoid_s_v1,1.018502773018,5,5,0,5,0.777935894,0.920272477,0.284673165,0.208589563,0.920272477,5,0.763803413,0.903554218,0.279501611,0.204800192,0.903554218
x-ai/grok-4.20,T2,C03,p1,0.7,t07,surprise,legacy_linear_v1,1.057697511124,5,5,0,5,0.360201221,0.360201221,0.0,0.360201221,0.360201221,5,0.340552206,0.340552206,0.0,0.340552206,0.340552206
x-ai/grok-4.20,T2,C03,p1,0.7,t07,surprise,sigmoid_s_v1,1.018502773018,5,5,0,5,0.15837963,0.15837963,0.0,0.15837963,0.15837963,5,0.155502404,0.155502404,0.0,0.155502404,0.155502404
x-ai/grok-4.20,T2,C04,p1,0.9,t09,anger,legacy_linear_v1,1.057697511124,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T2,C04,p1,0.9,t09,anger,sigmoid_s_v1,1.018502773018,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T2,C04,p1,0.9,t09,interest,legacy_linear_v1,1.057697511124,5,5,0,5,0.52301699,0.528771238,0.011508495,0.5,0.528771238,5,0.494486358,0.499926711,0.010880706,0.472724947,0.499926711
